n,mp,mp11,nth_pack_element
0,0,0.0003943443298339844,0.0005666414896647182
10,0.0024062792460123675,0.0029218991597493443,0.005603233973185219
20,0.004247109095255535,0.006155729293823228,0.014263629913330078
30,0.006460587183634438,0.010263919830322266,0.02560901641845703
40,0.010699987411499023,0.013900359471638993,0.03987646102905274
50,0.014542977015177407,0.017969369888305664,0.05683279037475585
60,0.01943310101826986,0.02567195892333983,0.07767669359842935
70,0.025077184041341145,0.03127320607503256,0.10152157147725421
80,0.030977328618367512,0.03954458236694337,0.12793596585591635
90,0.038765112559000656,0.04759581883748373,0.15806953112284342
100,0.045711517333984375,0.05678526560465495,0.1911920706431071
